,instance,execution,initial_construction_time,local_search_time,total_time,z_value
0,0,1,5.43000060133636e-05,5.145389399956912,5.145443699962925,640.4620937929903
1,0,2,5.539995618164539e-05,5.937046500039287,5.937101899995469,708.6472042353302
2,0,3,6.2700011767447e-05,7.971480200008955,7.971542900020722,656.3770884067112
3,1,1,8.759996853768826e-05,8.1660397000378,8.166127300006337,623.1321143382387
4,1,2,7.399998139590025e-05,6.008353499986697,6.008427499968093,633.6629295234123
5,1,3,5.229999078437686e-05,7.489867599972058,7.4899198999628425,604.4569504838438
6,2,1,5.690002581104636e-05,5.783833899942692,5.783890799968503,575.5970911637185
7,2,2,4.9799971748143435e-05,5.018012800021097,5.018062599992845,578.6440656380997
8,2,3,4.5199994929134846e-05,4.8939054000074975,4.893950600002427,553.0643610997683
9,3,1,5.319999763742089e-05,7.030814900004771,7.030868100002408,650.0027407221664
10,3,2,4.250003257766366e-05,7.312113400024828,7.312155900057405,665.7936978153623
11,3,3,5.770003190264106e-05,7.266073200036772,7.266130900068674,668.8090881615525
12,4,1,7.49000464566052e-05,4.519215899985284,4.51929080003174,616.4480164954266
13,4,2,4.8200017772614956e-05,6.307001300039701,6.307049500057474,629.6746768146149
14,4,3,4.640000406652689e-05,5.1323010000051,5.1323474000091664,678.8154380491227
15,5,1,6.9500005338341e-05,5.610500300012063,5.610569800017402,573.7994207398843
16,5,2,4.680000711232424e-05,4.843915900040884,4.843962700047996,569.7078886522888
17,5,3,8.420000085607171e-05,5.0268332999548875,5.0269174999557436,544.7624265315352
18,6,1,5.329999839887023e-05,9.234891500032973,9.234944800031371,507.06722969367365
19,6,2,6.960000609979033e-05,7.242909899970982,7.242979499977082,517.2539500176908
20,6,3,4.2499974370002747e-05,5.669054700003471,5.669097199977841,537.9662254706318
21,7,1,7.130001904442906e-05,10.434172599983867,10.434243900002912,580.9357687620072
22,7,2,4.1300023440271616e-05,5.880003500031307,5.880044800054748,622.7457412213816
23,7,3,4.9099966417998075e-05,4.531723399995826,4.531772499962244,616.9348198403897
24,8,1,4.379998426884413e-05,5.55367729999125,5.553721099975519,591.8069562798818
25,8,2,4.529999569058418e-05,5.015919899975415,5.015965199971106,607.993632741993
26,8,3,4.509999416768551e-05,6.648523599957116,6.648568699951284,592.2010820300833
27,9,1,7.250002818182111e-05,8.191438600013498,8.19151110004168,611.4486806689437
28,9,2,6.430002395063639e-05,6.931979199987836,6.932043500011787,619.8398885553966
29,9,3,7.599999662488699e-05,5.754542600014247,5.754618600010872,600.355359657819
30,10,1,6.10999995842576e-05,6.870735300006345,6.870796400005929,622.983933278178
