,instance,execution,initial_construction_time,local_search_time,total_time,z_value
0,0,1,7.730000652372837e-05,7.552474099968094,7.552551399974618,566.1180122541982
1,0,2,4.499999340623617e-05,4.383477600000333,4.383522599993739,630.308431832497
2,0,3,4.579999949783087e-05,4.028833599993959,4.028879399993457,633.0247691388736
3,1,1,6.960000609979033e-05,5.690307200013194,5.690376800019294,570.6551505481222
4,1,2,3.840000135824084e-05,4.888241600012407,4.888280000013765,596.4071107951141
5,1,3,5.299999611452222e-05,4.017615599965211,4.0176685999613255,584.3711186824496
6,2,1,5.1499984692782164e-05,6.5249704999732785,6.525021999957971,631.7269920313586
7,2,2,4.0599959902465343e-05,6.328824399970472,6.328864999930374,675.2002513615962
8,2,3,4.239997360855341e-05,8.298444400017615,8.298486799991224,681.8000878285086
9,3,1,5.050003528594971e-05,4.7582089000497945,4.75825940008508,535.5103725773682
10,3,2,4.3199979700148106e-05,4.878584799997043,4.878627999976743,577.1214928565527
11,3,3,4.4199987314641476e-05,6.841041399980895,6.84108559996821,625.2147473727965
12,4,1,0.0001813999842852354,6.231341700011399,6.231523099995684,565.7894942467669
13,4,2,6.200000643730164e-05,4.602638399985153,4.6027003999915905,581.3396624529149
14,4,3,0.00010519998613744974,4.477176999964286,4.477282199950423,574.7255004584825
15,5,1,6.900000153109431e-05,8.556448200019076,8.556517200020608,549.7941325174188
16,5,2,6.709998706355691e-05,3.863464900001418,3.8635319999884814,623.2497372774861
17,5,3,6.150000263005495e-05,5.441686700040009,5.441748200042639,578.2515224141239
18,6,1,5.23999915458262e-05,4.967366400000174,4.967418799991719,590.0106992379378
19,6,2,6.120000034570694e-05,4.681183399981819,4.681244599982165,643.3853361915648
20,6,3,6.10999995842576e-05,4.572561600012705,4.572622700012289,570.9915756665706
21,7,1,8.030002936720848e-05,5.252708200016059,5.252788500045426,543.0537363366333
22,7,2,7.300003198906779e-05,6.3784633000032045,6.378536300035194,497.6465826824008
23,7,3,9.029998909682035e-05,5.017560500011314,5.0176508000004105,517.2593560277961
24,8,1,8.349999552592635e-05,5.885545299970545,5.885628799966071,656.1506954479842
25,8,2,6.130000110715628e-05,6.757374899985734,6.7574361999868415,639.9990518704224
26,8,3,4.8600020818412304e-05,6.407026599976234,6.4070751999970526,657.9607146304616
27,9,1,5.749997217208147e-05,6.747169499984011,6.747226999956183,632.6368957240476
28,9,2,7.129996083676815e-05,7.8734014999936335,7.87347279995447,591.0455625014426
29,9,3,0.00012320000678300858,9.699933400028385,9.700056600035168,594.4381338225296
30,10,1,6.78999931551516e-05,10.092038000002503,10.092105899995659,536.9054538599877
31,10,2,4.869996337220073e-05,11.794595899991691,11.794644599955063,566.3295278613931
32,10,3,4.910002462565899e-05,8.735103600018192,8.735152700042818,532.5442033339892
